emoji,hexcode,group,subgroups,annotation,tags,openmoji_tags,openmoji_author,openmoji_date,skintone,skintone_combination,skintone_base_emoji,skintone_base_hexcode,unicode,order
ψ( ` ∇ ´ )ψ,,kaomoji,face-negative,pitchforks,"kaomoji, angry",,,,,,,,,59
(╯°□°）╯︵ ┻━┻,,kaomoji,face-negative,flipping tables,"kaomoji, large",,,,,,,,,60
┻━┻︵ヽ(`Д´)ﾉ︵ ┻━┻,,kaomoji,face-negative,flip all the tables,"kaomoji, large",,,,,,,,,61
ᗜԅ(⇀︿⇀)ᓄ-¤]═────,,kaomoji,face-negative,fighting with sword and shield,"kaomoji, large",,,,,,,,,62
(╥_╥),,kaomoji,face-concerned,crying,"kaomoji, cry, face, sad, tear",,,,,,,,,63
(◡_◡),,kaomoji,face-concerned,sad,"kaomoji, sad",,,,,,,,,64
(╥ᆺ╥；),,kaomoji,face-concerned,really sad,"kaomoji, cry, face, sad, tear",,,,,,,,,65
(－‸ლ),,kaomoji,face-concerned,face palm,"kaomoji, duh",,,,,,,,,66
( ˃̣̣̥⌓˂̣̣̥),,kaomoji,face-concerned,bawling,"kaomoji, cry, face, sad, tear",,,,,,,,,67
( ཀ ʖ̯ ཀ),,kaomoji,face-concerned,crying lenny,"kaomoji, cry, face, sad, tear",,,,,,,,,68
( ・⌓・｀),,kaomoji,face-concerned,concerned,"kaomoji, concern",,,,,,,,,69
(ुŏ̥̥̥̥ ‸ ŏ̥̥̥̥) ु,,kaomoji,face-concerned,bawling a lot,"kaomoji, cry, face, sad, tear",,,,,,,,,70
*ಥ_ಥ*,,kaomoji,face-concerned,trying to hold back tears,"kaomoji, cry, face, sad, tear",,,,,,,,,71
（◞‸◟）,,kaomoji,face-concerned,depressed,"kaomoji, sad, depressed",,,,,,,,,72
｡ﾟ･（>﹏<）･ﾟ｡,,kaomoji,face-concerned,im so sorry,"kaomoji, sorry, sad, apology",,,,,,,,,73
(°△°),,kaomoji,face-concerned,shocked,"kaomoji, shock, surprise",,,,,,,,,74
( ˶°ㅁ°) !!,,kaomoji,face-concerned,cute shocked,"kaomoji, shock, surprise",,,,,,,,,75
∑d(°∀°d),,kaomoji,face-concerned,shocked speecheless,"kaomoji, shock, surprise",,,,,,,,,76
(O_O)!,,kaomoji,face-concerned,neutral shocked,"kaomoji, shock, surprise",,,,,,,,,77
